"team_g","team_s","team_b","aa_g","aa_s","aa_b","event_g","event_s","event_b"
0,0,0,0,0,0.244897959183673,0.826530612244898,1.10204081632653,0.36734693877551
0,0,0,0,0,0.244897959183673,0.73469387755102,0.826530612244898,0.36734693877551
0,0,0,0,0,0,0.918367346938776,1.19387755102041,0.826530612244898
0,0,0,0,0,0,0.826530612244898,0.918367346938776,0.826530612244898
0,0,0,0,0,0,0.826530612244898,0.918367346938776,0.918367346938776
0,0,0,0,0,0,0.918367346938776,1.10204081632653,0.459183673469388
0,0,0,0,0,0,0.918367346938776,1.10204081632653,0.551020408163265
0,0,0,0,0,0,0.826530612244898,0.826530612244898,0.551020408163265
0,0,0,0,0,0,0.73469387755102,1.19387755102041,0.642857142857143
0,0,0,0,0,0,0.73469387755102,1.19387755102041,0.73469387755102
0,0,0,0,0,0,0.642857142857143,0.918367346938776,0.73469387755102
0,0,0,0,0,0,0.73469387755102,1.10204081632653,0.36734693877551
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,1.37755102040816,1.10204081632653,1.10204081632653
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,1.46938775510204,1.28571428571429,0.73469387755102
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,1.37755102040816,1.01020408163265,0.73469387755102
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,1.37755102040816,1.01020408163265,0.826530612244898
0,0,0,0,0,0.36734693877551,1.28571428571429,1.37755102040816,0.918367346938776
0,0,0,0,0,0.36734693877551,1.19387755102041,1.10204081632653,0.918367346938776
0,0,0,0,0,0.36734693877551,1.19387755102041,1.10204081632653,1.01020408163265
0,0,0,0,0,0.36734693877551,1.28571428571429,1.28571428571429,0.551020408163265
0,0,0,0,0,0.36734693877551,1.28571428571429,1.28571428571429,0.642857142857143
0,0,0,0,0,0.36734693877551,1.19387755102041,1.01020408163265,0.642857142857143
0,0,0,0,0,0.214285714285714,1.37755102040816,1.37755102040816,1.10204081632653
0,0,0,0,0,0.214285714285714,1.28571428571429,1.10204081632653,1.10204081632653
0,0,0,0,0,0.214285714285714,1.28571428571429,1.10204081632653,1.19387755102041
0,0,0,0,0,0.214285714285714,1.37755102040816,1.28571428571429,0.73469387755102
0,0,0,0,0,0.214285714285714,1.37755102040816,1.28571428571429,0.826530612244898
0,0,0,0,0,0.214285714285714,1.28571428571429,1.01020408163265,0.826530612244898
0,0,0,0,0,0.214285714285714,1.19387755102041,1.37755102040816,0.918367346938776
0,0,0,0,0,0.214285714285714,1.19387755102041,1.37755102040816,1.01020408163265
0,0,0,0,0,0.214285714285714,1.10204081632653,1.10204081632653,1.01020408163265
0,0,0,0,0,0.214285714285714,1.19387755102041,1.28571428571429,0.642857142857143
0,0,0,0,0,0.244897959183673,1.01020408163265,1.28571428571429,0.918367346938776
0,0,0,0,0,0.244897959183673,0.918367346938776,1.01020408163265,0.918367346938776
0,0,0,0,0,0.244897959183673,0.918367346938776,1.01020408163265,1.01020408163265
0,0,0,0,0,0.244897959183673,1.01020408163265,1.19387755102041,0.551020408163265
0,0,0,0,0,0.244897959183673,1.01020408163265,1.19387755102041,0.642857142857143
0,0,0,0,0,0.244897959183673,0.918367346938776,0.918367346938776,0.642857142857143
0,0,0,0,0,0.244897959183673,0.826530612244898,1.28571428571429,0.73469387755102
0,0,0,0,0,0.244897959183673,0.826530612244898,1.28571428571429,0.826530612244898
0,0,0,0,0,0.244897959183673,0.73469387755102,1.01020408163265,0.826530612244898
0,0,0,0,0,0.244897959183673,0.826530612244898,1.19387755102041,0.459183673469388
0,0,0,0,0,0,0.918367346938776,1.28571428571429,0.918367346938776
0,0,0,0,0,0,0.918367346938776,1.28571428571429,1.01020408163265
0,0,0,0,0,0,0.826530612244898,1.01020408163265,1.01020408163265
0,0,0,0,0,0,0.918367346938776,1.19387755102041,0.642857142857143
0,0,0,0,0,0,0.73469387755102,1.28571428571429,0.826530612244898
0,1.28571428571429,0,0,0,0.36734693877551,0.73469387755102,0.459183673469388,0.73469387755102
0,1.28571428571429,0,0,0,0.36734693877551,0.551020408163265,0.459183673469388,0.918367346938776
0,1.28571428571429,0,0,0,0.36734693877551,0.642857142857143,0.642857142857143,0.551020408163265
0,1.28571428571429,0,0,0,0.36734693877551,0.551020408163265,0.36734693877551,0.551020408163265
0,1.28571428571429,0,0,0,0.36734693877551,0.551020408163265,0.36734693877551,0.642857142857143
0,0.73469387755102,0.551020408163265,0,0,0.214285714285714,0.642857142857143,0.459183673469388,1.19387755102041
0,0.73469387755102,0.551020408163265,0,0,0.214285714285714,0.73469387755102,0.642857142857143,0.826530612244898
0,0.73469387755102,0.551020408163265,0,0,0.214285714285714,0.642857142857143,0.36734693877551,0.826530612244898
0,0.73469387755102,0.551020408163265,0,0,0.214285714285714,0.642857142857143,0.36734693877551,0.918367346938776
0,0,0,0,0,0.214285714285714,0.551020408163265,0.73469387755102,0.918367346938776
0,0,0,0,0,0.214285714285714,0.459183673469388,0.459183673469388,0.918367346938776
0,0,0,0,0,0.214285714285714,0.459183673469388,0.459183673469388,1.01020408163265
0,0,0,0,0,0.214285714285714,0.551020408163265,0.642857142857143,0.551020408163265
0,0,0,0,0,0.214285714285714,0.551020408163265,0.642857142857143,0.642857142857143
0,0,0,0,0,0.214285714285714,0.459183673469388,0.36734693877551,0.642857142857143
0,0.918367346938776,0.275510204081633,0,0,0.244897959183673,0.275510204081633,0.459183673469388,0.918367346938776
0,0.918367346938776,0.275510204081633,0,0,0.244897959183673,0.36734693877551,0.642857142857143,0.551020408163265
0,0.918367346938776,0.275510204081633,0,0,0.244897959183673,0.275510204081633,0.36734693877551,0.551020408163265
0,0.918367346938776,0.275510204081633,0,0,0.244897959183673,0.275510204081633,0.36734693877551,0.642857142857143
0,0,0,0,0,0.244897959183673,0.183673469387755,0.642857142857143,0.73469387755102
0,0,0,0,0,0.244897959183673,0.0918367346938776,0.36734693877551,0.73469387755102
0,0,0,0,0,0.244897959183673,0.0918367346938776,0.36734693877551,0.826530612244898
0,0,0,0,0,0.244897959183673,0.183673469387755,0.551020408163265,0.36734693877551
0,0,0,0,0,0.244897959183673,0.183673469387755,0.551020408163265,0.459183673469388
0,0,0,0,0,0.244897959183673,0.0918367346938776,0.275510204081633,0.459183673469388
0,0,0,0,0,0,0.275510204081633,0.642857142857143,1.01020408163265
0,0,0,0,0,0,0.183673469387755,0.36734693877551,1.01020408163265
0,0,0,0,0,0,0.183673469387755,0.36734693877551,1.10204081632653
0,0,0,0,0,0,0.275510204081633,0.551020408163265,0.642857142857143
0,0,0,0,0,0,0.275510204081633,0.551020408163265,0.73469387755102
0,0,0,0,0,0,0.183673469387755,0.275510204081633,0.73469387755102
0,0,0,0,0,0,0.0918367346938776,0.642857142857143,0.73469387755102
0,0,0,0,0,0,0.0918367346938776,0.642857142857143,0.826530612244898
0,0,0,0,0,0,0,0.36734693877551,0.826530612244898
0,0,0,0,0,0,0.0918367346938776,0.551020408163265,0.459183673469388
0,1.28571428571429,0,0,0,0.36734693877551,0.73469387755102,0.642857142857143,1.19387755102041
0,1.28571428571429,0,0,0,0.36734693877551,0.826530612244898,0.826530612244898,0.826530612244898
0,1.28571428571429,0,0,0,0.36734693877551,0.73469387755102,0.551020408163265,0.826530612244898
0,1.28571428571429,0,0,0,0.36734693877551,0.73469387755102,0.551020408163265,0.918367346938776
0,1.28571428571429,0,0,0,0.36734693877551,0.642857142857143,0.826530612244898,1.01020408163265
0,1.28571428571429,0,0,0,0.36734693877551,0.551020408163265,0.551020408163265,1.01020408163265
0,1.28571428571429,0,0,0,0.36734693877551,0.551020408163265,0.551020408163265,1.10204081632653
0,1.28571428571429,0,0,0,0.36734693877551,0.642857142857143,0.73469387755102,0.642857142857143
0,1.28571428571429,0,0,0,0.36734693877551,0.642857142857143,0.73469387755102,0.73469387755102
0,1.28571428571429,0,0,0,0.36734693877551,0.551020408163265,0.459183673469388,0.73469387755102
0,0.73469387755102,0.551020408163265,0,0,0.214285714285714,0.73469387755102,0.826530612244898,1.28571428571429
0,0.73469387755102,0.551020408163265,0,0,0.214285714285714,0.642857142857143,0.551020408163265,1.28571428571429
0,0.73469387755102,0.551020408163265,0,0,0.214285714285714,0.642857142857143,0.551020408163265,1.37755102040816
0,0.73469387755102,0.551020408163265,0,0,0.214285714285714,0.73469387755102,0.73469387755102,0.918367346938776
0,0.73469387755102,0.551020408163265,0,0,0.214285714285714,0.73469387755102,0.73469387755102,1.01020408163265
0,0.73469387755102,0.551020408163265,0,0,0.214285714285714,0.642857142857143,0.459183673469388,1.01020408163265
0,0,0,0,0,0.214285714285714,0.551020408163265,0.826530612244898,1.01020408163265
0,0,0,0,0,0.214285714285714,0.551020408163265,0.826530612244898,1.10204081632653
0,0,0,0,0,0.214285714285714,0.459183673469388,0.551020408163265,1.10204081632653
0,0,0,0,0,0.214285714285714,0.551020408163265,0.73469387755102,0.73469387755102
0,0.918367346938776,0.275510204081633,0,0,0.244897959183673,0.36734693877551,0.826530612244898,1.01020408163265
0,0.918367346938776,0.275510204081633,0,0,0.244897959183673,0.275510204081633,0.551020408163265,1.01020408163265
0,0.918367346938776,0.275510204081633,0,0,0.244897959183673,0.275510204081633,0.551020408163265,1.10204081632653
0,0.918367346938776,0.275510204081633,0,0,0.244897959183673,0.36734693877551,0.73469387755102,0.642857142857143
0,0.918367346938776,0.275510204081633,0,0,0.244897959183673,0.36734693877551,0.73469387755102,0.73469387755102
0,0.918367346938776,0.275510204081633,0,0,0.244897959183673,0.275510204081633,0.459183673469388,0.73469387755102
0,0,0,0,0,0.244897959183673,0.183673469387755,0.73469387755102,0.826530612244898
0,0,0,0,0,0.244897959183673,0.183673469387755,0.73469387755102,0.918367346938776
0,0,0,0,0,0.244897959183673,0.0918367346938776,0.459183673469388,0.918367346938776
0,0,0,0,0,0.244897959183673,0.183673469387755,0.642857142857143,0.551020408163265
0,0,0,0,0,0,0.275510204081633,0.73469387755102,1.10204081632653
0,0,0,0,0,0,0.275510204081633,0.73469387755102,1.19387755102041
0,0,0,0,0,0,0.183673469387755,0.459183673469388,1.19387755102041
0,0,0,0,0,0,0.275510204081633,0.642857142857143,0.826530612244898
0,0,0,0,0,0,0.0918367346938776,0.73469387755102,0.918367346938776
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,0.73469387755102,0.642857142857143,1.01020408163265
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,0.826530612244898,0.826530612244898,0.642857142857143
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,0.73469387755102,0.551020408163265,0.642857142857143
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,0.73469387755102,0.551020408163265,0.73469387755102
0,0,0,0,0,0.36734693877551,0.642857142857143,0.826530612244898,0.918367346938776
0,0,0,0,0,0.36734693877551,0.551020408163265,0.551020408163265,0.918367346938776
0,0,0,0,0,0.36734693877551,0.551020408163265,0.551020408163265,1.01020408163265
0,0,0,0,0,0.36734693877551,0.642857142857143,0.73469387755102,0.551020408163265
0,0,0,0,0,0.36734693877551,0.642857142857143,0.73469387755102,0.642857142857143
0,0,0,0,0,0.36734693877551,0.551020408163265,0.459183673469388,0.642857142857143
0,0,0,0,0,0.214285714285714,0.73469387755102,0.826530612244898,1.10204081632653
0,0,0,0,0,0.214285714285714,0.642857142857143,0.551020408163265,1.10204081632653
0,0,0,0,0,0.214285714285714,0.642857142857143,0.551020408163265,1.19387755102041
0,0,0,0,0,0.214285714285714,0.73469387755102,0.73469387755102,0.73469387755102
0,0,0,0,0,0.214285714285714,0.73469387755102,0.73469387755102,0.826530612244898
0,0,0,0,0,0.214285714285714,0.642857142857143,0.459183673469388,0.826530612244898
0,0,0,0,0,0.214285714285714,0.551020408163265,0.826530612244898,0.918367346938776
0,0,0,0,0,0.214285714285714,0.551020408163265,0.826530612244898,1.01020408163265
0,0,0,0,0,0.214285714285714,0.459183673469388,0.551020408163265,1.01020408163265
0,0,0,0,0,0.214285714285714,0.551020408163265,0.73469387755102,0.642857142857143
0,0,0,0,0,0.244897959183673,0.36734693877551,0.826530612244898,0.826530612244898
0,0,0,0,0,0.244897959183673,0.275510204081633,0.551020408163265,0.826530612244898
0,0,0,0,0,0.244897959183673,0.275510204081633,0.551020408163265,0.918367346938776
0,0,0,0,0,0.244897959183673,0.36734693877551,0.73469387755102,0.459183673469388
0,0,0,0,0,0.244897959183673,0.36734693877551,0.73469387755102,0.551020408163265
0,0,0,0,0,0.244897959183673,0.275510204081633,0.459183673469388,0.551020408163265
0,0,0,0,0,0.244897959183673,0.183673469387755,0.73469387755102,0.73469387755102
0,0,0,0,0,0.244897959183673,0.183673469387755,0.73469387755102,0.826530612244898
0,0,0,0,0,0.244897959183673,0.0918367346938776,0.459183673469388,0.826530612244898
0,0,0,0,0,0.244897959183673,0.183673469387755,0.642857142857143,0.459183673469388
0,0,0,0,0,0,0.275510204081633,0.73469387755102,0.918367346938776
0,0,0,0,0,0,0.275510204081633,0.73469387755102,1.01020408163265
0,0,0,0,0,0,0.183673469387755,0.459183673469388,1.01020408163265
0,0,0,0,0,0,0.275510204081633,0.642857142857143,0.642857142857143
0,0,0,0,0,0,0.0918367346938776,0.73469387755102,0.826530612244898
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,0.826530612244898,1.01020408163265,1.10204081632653
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,0.73469387755102,0.73469387755102,1.10204081632653
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,0.73469387755102,0.73469387755102,1.19387755102041
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,0.826530612244898,0.918367346938776,0.73469387755102
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,0.826530612244898,0.918367346938776,0.826530612244898
0,1.19387755102041,0.0918367346938776,0,0,0.36734693877551,0.73469387755102,0.642857142857143,0.826530612244898
0,0,0,0,0,0.36734693877551,0.642857142857143,0.918367346938776,1.01020408163265
0,0,0,0,0,0.36734693877551,0.642857142857143,0.918367346938776,1.10204081632653
0,0,0,0,0,0.36734693877551,0.551020408163265,0.642857142857143,1.10204081632653
0,0,0,0,0,0.36734693877551,0.642857142857143,0.826530612244898,0.73469387755102
0,0,0,0,0,0.214285714285714,0.73469387755102,0.918367346938776,1.19387755102041
0,0,0,0,0,0.214285714285714,0.73469387755102,0.918367346938776,1.28571428571429
0,0,0,0,0,0.214285714285714,0.642857142857143,0.642857142857143,1.28571428571429
0,0,0,0,0,0.214285714285714,0.73469387755102,0.826530612244898,0.918367346938776
0,0,0,0,0,0.214285714285714,0.551020408163265,0.918367346938776,1.10204081632653
0,0,0,0,0,0.244897959183673,0.36734693877551,0.918367346938776,0.918367346938776
0,0,0,0,0,0.244897959183673,0.36734693877551,0.918367346938776,1.01020408163265
0,0,0,0,0,0.244897959183673,0.275510204081633,0.642857142857143,1.01020408163265
0,0,0,0,0,0.244897959183673,0.36734693877551,0.826530612244898,0.642857142857143
0,0,0,0,0,0.244897959183673,0.183673469387755,0.826530612244898,0.918367346938776
0,0,0,0,0,0,0.275510204081633,0.826530612244898,1.10204081632653
